# event# KE_neutrino(MeV) cos(theta_e+)_wrt_neutrino_momentum_direction KE_e+(MeV) cos(theta_neutron)_wrt_neutrino_momentum_direction KE_neutron(MeV)
        83  1.883   -0.4130993616   0.07628290741    0.9914478941  0.002171092613
        84  1.884    0.6784796608   0.07791779218    0.9919567181  0.001536207859
        85  1.885   -0.2502625287   0.07836978122    0.9896265196  0.002084218821
        86  1.886  -0.08749296656   0.07946257268    0.9883269472  0.001991427329
        87  1.887    0.4015827533   0.08075238881    0.9882519383  0.001701611196
        88  1.888    0.7415831853   0.08195717529    0.9927351701  0.001496824725
        89  1.889    0.7665869747   0.08297296069    0.9931848414  0.001481039333
        90   1.89    0.4261041377   0.08376464163    0.9879880382  0.001689358409
        91  1.891    0.4313264429   0.08476702781    0.9878820798  0.001686972216
        92  1.892    0.5782788051   0.08585756507     0.989391796   0.00159643494
        93  1.893    0.4926100383   0.08680372013    0.9881774753  0.001650279903
        94  1.894   -0.5374643006   0.08715671252    0.9920057133   0.00229728751
        95  1.895    0.8796499954   0.08904839533    0.9957542568   0.00140560467
        96  1.896    0.2542598448   0.08964992161      0.98615586  0.001804078418
        97  1.897    0.6935188626   0.09093054598    0.9907836275  0.001523454023
        98  1.898    0.8818107257   0.09205281615    0.9956593264  0.001401183894
        99  1.899   0.02305837488   0.09249502847    0.9859064526  0.001958971556
       100    1.9   -0.3606465603   0.09324238443     0.989056561  0.002211615583
       101  1.901      -0.9594651   0.09384695553    0.9991507432  0.002607044474
       102  1.902   -0.9063630225   0.09487520605    0.9980464268  0.002578793972
       103  1.903   -0.9813113366   0.09581935774    0.9995993799  0.002634642279
       104  1.904    0.9286509613   0.09809011423    0.9970461007  0.001363885817
       105  1.905    0.5854316014   0.09885892761    0.9877762508  0.001595072391
       106  1.906    0.0342920064   0.09948461176    0.9848286035  0.001969388244
       107  1.907    0.4068885385    0.1007362669    0.9852726194  0.001717733136
       108  1.908   -0.6557701514    0.1010078173    0.9929426082  0.002446182737
       109  1.909   -0.9962310172    0.1017692808    0.9999147175  0.002684719278
       110   1.91    0.4619688671    0.1037714405    0.9853612026  0.001682559491
       111  1.911 -0.006927882787    0.1044431515    0.9843100636  0.002010848558
       112  1.912    0.4513230599    0.1057622764    0.9849480641  0.001691723581
       113  1.913    0.4435757664    0.1067559062    0.9847166303  0.001698093864
       114  1.914   -0.8485686798     0.106839984    0.9965575394  0.002614015952
       115  1.915   -0.6887958413    0.1079472344    0.9931722875   0.00250676562
       116  1.916   -0.2536806376    0.1092527734    0.9859227348  0.002201226608
       117  1.917   -0.1078383704    0.1103540943    0.9842260167  0.002099905714
       118  1.918    0.8021080652    0.1120123053    0.9916042811  0.001441694709
       119  1.919   -0.6633576909    0.1119440213    0.9924363059  0.002509978679
       120   1.92   -0.6881131609     0.112920658    0.9928878258   0.00253334204
       121  1.921   -0.2887548059    0.1142084749    0.9858050753  0.002245525133
       122  1.922   -0.9829205684    0.1146927838    0.9995744394  0.002761216236
       123  1.923    0.6689529936    0.1169148542    0.9871998455  0.001539145789
       124  1.924   -0.5282208524    0.1170182353    0.9894468286  0.002435764779
       125  1.925    0.3841401157    0.1186995614    0.9823392985  0.001754438579
       126  1.926    0.4811417996    0.1197719176    0.9832351387  0.001682082433
       127  1.927  -0.03600899363    0.1203773465     0.982245393  0.002076653555
       128  1.928    0.4171162285    0.1217211366    0.9821841311   0.00173286342
       129  1.929   -0.6137680053    0.1219289755    0.9907966825  0.002525024484
       130   1.93   -0.9376753941    0.1226752553    0.9983748414  0.002778744741
       131  1.931     0.937152179    0.1251230089    0.9965005614  0.001330991159
       132  1.932   -0.1874254877    0.1252450932    0.9831580095   0.00220890685
       133  1.933   -0.9436636972    0.1256516083    0.9984996376  0.002802391751
       134  1.934    0.6254089945    0.1278789282    0.9847593077  0.001575071814
       135  1.935    0.1499353182    0.1285015255    0.9801075431  0.001952474506
       136  1.936  -0.07791968388    0.1293182295    0.9813908207  0.002135770506
       137  1.937    0.0661876048    0.1304302637    0.9801261873  0.002023736316
       138  1.938     0.442335485    0.1317301012    0.9809504412  0.001723898848
       139  1.939   -0.7027179967    0.1318067523    0.9922323605  0.002647247697
       140   1.94   -0.9344758904    0.1326146632    0.9981795316  0.002839336864
       141  1.941   -0.9436913254    0.1336009247    0.9984228943  0.002853075354
       142  1.942    0.7908441899    0.1360119325    0.9890547096  0.001442067521
       143  1.943   -0.9135772856     0.135612869    0.9975656257  0.002841131034
       144  1.944   -0.9930254547    0.1365415351    0.9997990909   0.00291246488
       145  1.945     -0.81864599    0.1376787013    0.9949384672  0.002775298714
       146  1.946    0.2286321558    0.1395431429    0.9783762071  0.001910857167
       147  1.947    0.1628998844    0.1404861907    0.9782672391  0.001967809353
       148  1.948   -0.2291574865    0.1411547236    0.9818327356  0.002299276483
       149  1.949   -0.2051077052    0.1421713638    0.9813444463  0.002282636245
       150   1.95     -0.96103522    0.1425295402    0.9988454051  0.002924459891
       151  1.951    0.2171102674     0.144523776    0.9776046451  0.001930224038
       152  1.952    0.9401890039    0.1461425146    0.9959726321  0.001311485408
       153  1.953    0.1521725128    0.1464640098    0.9773916249  0.001989990181
       154  1.954    0.9594714064    0.1481607295    0.9971632698  0.001293270486
       155  1.955    -0.735796914    0.1476917965    0.9923389686  0.002762203533
       156  1.956   -0.1101699136    0.1492290923    0.9791336529  0.002224907687
       157  1.957    0.4599019992    0.1507245766     0.978321969  0.001729423438
       158  1.958    0.9782560999    0.1521804883    0.9983927928  0.001273511691
       159  1.959   -0.9851932619    0.1514512066    0.9995369941  0.003002793472
       160   1.96    0.9076801832    0.1541193409    0.9936153194  0.001334659142
       161  1.961    0.5163115803    0.1547705318    0.9786597278  0.001683468207
       162  1.962    0.5136377173     0.155767255    0.9784631665  0.001686745031
       163  1.963   -0.6371709877    0.1557356648    0.9892780195  0.002718335186
       164  1.964    0.5733038508    0.1578193268    0.9794422759   0.00163467322
       165  1.965   -0.8381197313    0.1575447055    0.9949299517   0.00290929455
       166  1.966   -0.9280367102    0.1584577255     0.997692608  0.002996274555
       167  1.967     0.178169121     0.160456529    0.9752213214  0.001997470985
       168  1.968     0.866601951    0.1620860049    0.9906612249  0.001367995135
       169  1.969     0.115204514    0.1623943622    0.9751738016  0.002059637849
       170   1.97    0.4092527884     0.163663469    0.9756979365  0.001790531002
       171  1.971   -0.6526264064    0.1636802435    0.9892547099  0.002773756522
       172  1.972   -0.9848058298    0.1643680319    0.9994928201  0.003085968108
       173  1.973    -0.775656817    0.1655556027    0.9927840569  0.002898397326
       174  1.974   -0.6877587819    0.1666318737    0.9901100511  0.002822126314
       175  1.975   -0.7020933665    0.1676131254    0.9904850201  0.002840874588
       176  1.976     0.225463015    0.1694817569    0.9737981922  0.001972243127
       177  1.977   -0.5272098416    0.1697673866    0.9854254314    0.0026866134
       178  1.978   -0.2294614934    0.1710451184    0.9784133137  0.002408881603
       179  1.979    0.9960712222    0.1732142566    0.9996514872  0.001239743409
       180   1.98    0.8506519082    0.1740748875     0.988834907   0.00137911253
       181  1.981   -0.1511046337    0.1741093984    0.9766326916  0.002344601648
       182  1.982    0.4126501679    0.1756508051    0.9739033322  0.001803194882
       183  1.983    0.4473114233    0.1766831521    0.9742125369  0.001770847955
       184  1.984    0.8038819153    0.1780301902    0.9857743681  0.001423809775
       185  1.985   -0.3054462294    0.1779453514    0.9792501929  0.002508648583
       186  1.986   -0.9543121257     0.178307965    0.9983824503  0.003146034978
       187  1.987    0.6927883793    0.1809206168    0.9801639439  0.001533383192
       188  1.988   -0.2152353739    0.1810224134    0.9770094673  0.002431586589
       189  1.989   -0.7095671277     0.181530339    0.9900783819  0.002923661039
       190   1.99   -0.3739443854    0.1828575942    0.9803867392  0.002596405802
       191  1.991   0.05378735811     0.184279917    0.9724946244     0.002174083
       192  1.992   -0.6361363572    0.1845873418    0.9876162575  0.002866658231
       193  1.993    0.3495209045    0.1865722952    0.9716075716  0.001881704804
       194  1.994  -0.04162193974    0.1871756461    0.9732562251  0.002278353955
       195  1.995   0.06624726951    0.1882818712    0.9718112618  0.002172128767
       196  1.996    0.2515641628    0.1894677546    0.9707700734  0.001986245456
       197  1.997 -0.005597066134    0.1902033307    0.9723609199  0.002250669313
       198  1.998    0.4319626004    0.1916488464     0.971712677  0.001805153618
       199  1.999   -0.9172889618    0.1912638755    0.9969259486    0.0031901245
       200      2   -0.5972144445    0.1925860461    0.9859397345  0.002867953931
       201  2.001  -0.03401307715    0.1941623697    0.9722288607  0.002291630362
       202  2.002   -0.7580957622    0.1944097316    0.9911705431  0.003044268375
       203  2.003    0.1735041253    0.1963725693    0.9698820231  0.002081430693
       204  2.004    -0.215348213    0.1969640084    0.9752267934  0.002489991622
       205  2.005    -0.320812678     0.197849943    0.9776272266   0.00260405699
       206  2.006   -0.2606780324     0.198909065    0.9760479254  0.002544935016
       207  2.007    0.8484864049    0.2010783785    0.9865870952  0.001375621527
       208  2.008   -0.8486817973    0.2002806265    0.9942415484  0.003173373557
       209  2.009   -0.3592097568    0.2017930537    0.9782559937  0.002660946271
       210   2.01   -0.6336686644    0.2024970451    0.9865565616  0.002956954937
       211  2.011   -0.6905619032    0.2034312462    0.9884539171  0.003022753798
       212  2.012    0.3433326157    0.2055347702    0.9686531664  0.001919229834
       213  2.013   -0.9615893201    0.2051300125    0.9984806355  0.003323987518
       214  2.014  -0.09085584758    0.2070617765    0.9715218301  0.002392223491
       215  2.015   -0.5164982039    0.2075978307    0.9824090125  0.002856169358
       216  2.016    0.8074904433    0.2100348248    0.9829732569  0.001419175279
       217  2.017    0.8306386829    0.2110601967    0.9844760589   0.00139380338
       218  2.018   -0.6618816354    0.2104249264    0.9871164702  0.003029073603
       219  2.019    0.9621041813    0.2132055374    0.9958178795  0.001248462607
       220   2.02   -0.9125576424    0.2121393833     0.996479006   0.00331461671
       221  2.021    0.3443595502    0.2145207548    0.9672855723  0.001933245174
       222  2.022    0.9934754092    0.2162421061    0.9992350669  0.001211893905
       223  2.023    -0.111011324    0.2160102031     0.970816079   0.00244379693
       224  2.024   0.08813643502     0.217229218    0.9675274394  0.002224782012
       225  2.025    0.6238504858    0.2188279376    0.9724822844  0.001626062466
